INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
jioeva-preprod-rabbitmq-2,10.143.8.11,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-redis-master,10.143.8.12,n2-highcpu-4,4,4.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-redis-slave-1,10.143.8.13,n2-highcpu-4,4,4.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-redis-slave-2,10.143.8.14,n2-highcpu-4,4,4.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-scanning-server,10.143.31.240,n2-standard-8,8,32.0 GB,200 GB,TERMINATED,eva-preprod,preprod,eva,hellojio-eva-prod,308
jioeva-preprod-unimrcp-1,10.143.8.21,n2-custom-8-16384,8,16.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jioeva-preprod-unimrcp-2,10.143.8.22,n2-custom-8-16384,8,16.0 GB,30 GB,RUNNING,hellojio,preprod,eva,eva-preprod,308
jiogames-dev-bastion,10.148.3.2,e2-small,2,2.0 GB,30 GB,RUNNING,jiogames,dev,watch,jiowatch-dev,308
jiogames-dev-temp,10.148.1.244,e2-standard-4,4,16.0 GB,200 GB,TERMINATED,jiogames,dev,watch,jiowatch-dev,308
jiogames-prod-proxy,10.146.5.2,e2-medium,2,4.0 GB,30 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogames-watch-dev-2,10.148.1.220,e2-standard-4,4,16.0 GB,50 GB,RUNNING,jiogames,dev,watch,jiowatch-dev,308
jiogamesprod-apiserver-01,10.146.1.3,n2-custom-8-16384,8,16.0 GB,750 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-apiserver-02,10.146.1.4,n2-custom-8-16384,8,16.0 GB,750 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-bastion,10.146.3.3,n2-custom-2-1024,2,1.0 GB,50 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-elasticsearch-01,10.146.2.2,n2-standard-8,8,32.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-elasticsearch-02,10.146.2.3,n2-standard-8,8,32.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-elasticsearch-03,10.146.2.4,n2-standard-8,8,32.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-elasticsearch-04,10.146.2.5,n2-standard-8,8,32.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-elasticsearch-05,10.146.2.6,n2-standard-8,8,32.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-mongo-01,10.146.2.7,n2-custom-8-16384,8,16.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-mongo-02,10.146.2.8,n2-custom-8-16384,8,16.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-mongo-03,10.146.2.9,n2-custom-8-16384,8,16.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-proxy,10.146.3.4,e2-medium,2,4.0 GB,30 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-rabbitmq-01,10.146.2.13,n2-custom-2-4096,2,4.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-rabbitmq-02,10.146.2.14,n2-custom-2-4096,2,4.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-rabbitmq-03,10.146.2.15,n2-custom-2-4096,2,4.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-redis-01,10.146.2.10,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-redis-02,10.146.2.11,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-redis-03,10.146.2.12,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-vod-delivery-01,10.146.1.42,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesprod-vod-delivery-02,10.146.1.43,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogamesrc-apiserver-1,10.147.1.2,n2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-apiserver-2,10.147.1.3,n2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-bastion,10.147.3.2,n2-custom-2-1024,2,1.0 GB,50 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-database-1,10.147.2.2,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-database-2,10.147.2.3,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-database-3,10.147.2.4,n2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-gamesvod,10.147.1.16,e2-small,2,2.0 GB,50 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-livepublisher-2,10.147.1.12,n2-highcpu-16,16,16.0 GB,100 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-opensearch,10.147.1.107,n2-custom-2-4096,2,4.0 GB,200 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiogamesrc-opensearch-2,10.147.1.85,n2-custom-2-4096,2,4.0 GB,200 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
jiowatch-dev,10.148.1.241,e2-standard-4,4,16.0 GB,50 GB,RUNNING,jiogames,dev,watch,jiowatch-dev,308
jiowatch-live-publisher-dev,10.148.1.243,custom-2-4096,2,4.0 GB,100 GB,RUNNING,jiogames,dev,watch,jiowatch-dev,308
jiowatch-live-publisher-dev-2,10.148.1.245,custom-2-4096,2,4.0 GB,100 GB,RUNNING,jiogames,dev,watch,jiowatch-dev,308
jwd-dev,10.2.3.217,e2-custom-4-8192,4,8.0 GB,200 GB,RUNNING,jwd,dev,world-drive,jwd-dev,308
jwd-stage,10.2.3.241,e2-custom-4-8192,4,8.0 GB,200 GB,RUNNING,jwd,stage,world-drive,jwd-stage,308
kbc-api-dev,10.2.3.14,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,dev,kbc,brand-dev,308
lms-prod-bastion-bavama,10.9.2.3,n2-standard-8,8,32.0 GB,200 GB,TERMINATED,jioengage,prod,lms-ugc,devops,720
lms-ugc-api-1,10.9.1.2,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,lms-ugc,lms-prod,720
lms-ugc-api-2,10.9.1.3,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,lms-ugc,lms-prod,720
lms-ugc-bastion,10.9.2.2,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,lms-ugc,lms-prod,720
lms-ugc-engagedev,10.2.1.14,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,dev,lms-ugc,lms-dev,308
lms-ugc-replica,10.2.1.22,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,dev,lms-ugc,lms-dev,308
ludo-admin,10.3.2.61,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-ha,10.3.9.80,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-ha-2,10.3.8.6,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-ha-3,10.3.8.7,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-ha-4,10.3.8.11,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-ha-5,10.3.8.12,n2-highcpu-2,2,2.0 GB,30 GB,TERMINATED,jioengage,prod,ludo,bigticket-prod,720
ludo-mongo-master,10.3.1.31,n2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-mongo-replica,10.3.1.32,n2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-rabbitmq,10.3.3.26,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-1,10.3.16.22,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-10,10.3.18.117,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-2,10.3.16.26,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-3,10.3.18.110,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-4,10.3.18.111,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-5,10.3.18.112,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-6,10.3.18.113,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-7,10.3.18.114,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-8,10.3.18.115,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,ludo,bigticket-prod,720
ludo-sc-9,10.3.18.116,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,ludo,bigticket-prod,720
mail-server,10.3.2.215,e2-medium,2,4.0 GB,30 GB,TERMINATED,jioengage,prod,devops,bigticket-prod,720
newco-mobile-dev,10.2.3.76,e2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,jwd,dev,world-drive,jwd-dev,308
newco-mobile-qa,10.2.3.82,e2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,jwd,stage,world-drive,jwd-stage,308
offerstore-jiogames-appserver-1,10.7.1.8,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,offerstore,jcn-prod,720
offerstore-jiogames-appserver-2,10.7.1.9,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,offerstore,jcn-prod,720
offerstore-jiogames-redis,10.7.4.3,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,offerstore,jcn-prod,720
offerstore-regularcoupon-dev,10.2.3.204,e2-custom-2-4096,2,4.0 GB,60 GB,RUNNING,jcn,dev,coupon,jcn-dev,308
oreo-mongo,10.3.1.19,n2-standard-8,8,32.0 GB,100 GB,TERMINATED,jioengage,prod,oreo,brand-prod,720
oreo-mongo-2,10.3.1.20,n2-standard-8,8,32.0 GB,150 GB,TERMINATED,jioengage,prod,oreo,brand-prod,720
playalong-demo-1,10.2.3.207,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,dev,jcpa,brand-dev,308
playalong-dev,10.2.3.33,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,dev,jcpa,brand-dev,308
playnwin-1-admin-1,10.3.2.6,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-admin-2,10.3.2.7,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-admin-3,10.3.2.9,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-appserver-2,10.3.16.16,e2-medium,2,4.0 GB,100 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-appserver-5,10.3.16.19,e2-medium,2,4.0 GB,100 GB,TERMINATED,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-appserver-6,10.3.16.20,e2-medium,2,4.0 GB,100 GB,TERMINATED,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-appserver1,10.3.16.4,e2-medium,2,4.0 GB,100 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-rabbitmq,10.3.3.5,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-redis-1,10.3.4.3,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-redis-2,10.3.2.8,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-1-redis-3,10.3.4.4,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-1,bigticket-prod,720
playnwin-2-admin-1,10.3.2.10,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-admin-2,10.3.2.11,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-admin-3,10.3.2.12,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-appserver-1,10.3.16.5,e2-medium,2,4.0 GB,100 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-appserver-2,10.3.16.13,e2-medium,2,4.0 GB,100 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-rabbitmq,10.3.3.6,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-redis-1,10.3.4.5,n2-highmem-2,2,16.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-redis-2,10.3.4.6,n2-standard-2,2,8.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-2-redis-3,10.3.4.7,n2-standard-2,2,8.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-2,bigticket-prod,720
playnwin-3-admin-1,10.3.2.13,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-admin-2,10.3.2.14,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-admin-3,10.3.2.15,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-appserver-1,10.3.16.6,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-appserver-2,10.3.16.178,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-rabbitmq,10.3.3.7,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-redis-1,10.3.4.8,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-redis-2,10.3.4.9,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-3-redis-3,10.3.4.10,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-3,bigticket-prod,720
playnwin-4-admin-3,10.3.2.36,n2-custom-4-8192,4,8.0 GB,50 GB,RUNNING,jcn,prod,playnwin-4,jcn-prod,720
playnwin-4-appserver-1,10.3.16.183,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jcn,prod,playnwin-4,jcn-prod,720
playnwin-4-appserver-2,10.3.16.184,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jcn,prod,playnwin-4,jcn-prod,720
playnwin-4-rabbitmq,10.3.3.14,e2-highmem-2,2,16.0 GB,30 GB,RUNNING,jcn,prod,playnwin-4,jcn-prod,720
playnwin-4-redis-3,10.3.4.24,n2-custom-4-8192,4,8.0 GB,30 GB,RUNNING,jcn,prod,playnwin-4,jcn-prod,720
playnwin-5-admin-1,10.3.2.52,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-admin-2,10.3.2.53,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-admin-3,10.3.2.54,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-appserver-1,10.3.17.186,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-appserver-2,10.3.17.187,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-rabbitmq,10.3.3.23,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-redis-1,10.3.4.35,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-redis-2,10.3.4.36,n2-highcpu-2,2,2.0 GB,30 GB,TERMINATED,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-5-redis-3,10.3.4.37,n2-standard-2,2,8.0 GB,30 GB,TERMINATED,jioengage,prod,playnwin-5,bigticket-prod,720
playnwin-6-admin-1,10.3.2.58,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
playnwin-6-admin-2,10.3.2.59,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
playnwin-6-appserver-1,10.3.17.204,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
playnwin-6-appserver-2,10.3.17.205,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
playnwin-6-job-1,10.3.6.2,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
playnwin-6-rabbitmq,10.3.3.24,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
playnwin-6-redis-1,10.3.4.38,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
playnwin-6-redis-2,10.3.4.39,n2-standard-2,2,8.0 GB,30 GB,RUNNING,jioengage,prod,playnwin-6,bigticket-prod,720
poc-instance-group-20220825-6plh,10.3.17.133,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,watchparty,,720
poc-instance-group-20220825-rq64,10.3.17.62,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,watchparty,,720
profile-admin,10.3.2.2,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-1,10.3.16.2,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-10,10.3.17.36,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-11,10.3.17.37,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-12,10.3.17.38,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-13,10.3.17.39,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-14,10.3.17.40,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-15,10.3.17.41,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-16,10.3.17.42,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-17,10.3.17.43,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-18,10.3.17.44,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-19,10.3.17.45,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-2,10.3.17.28,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-20,10.3.17.46,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-21,10.3.17.199,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-22,10.3.17.200,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-23,10.3.17.201,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-24,10.3.17.202,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-25,10.3.17.203,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-3,10.3.17.29,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-4,10.3.17.30,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-5,10.3.17.31,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-6,10.3.17.32,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-7,10.3.17.33,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-8,10.3.17.34,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-api-9,10.3.17.35,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-mongo-1,10.3.1.2,n2-highmem-16,16,128.0 GB,300 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-mongo-2,10.3.1.3,n2-highmem-16,16,128.0 GB,200 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
profile-rabbitmq,10.3.3.2,n2-standard-2,2,8.0 GB,30 GB,RUNNING,jioengage,prod,profile,bigticket-prod,720
regularcoupon-prod-mongo-master,10.3.1.35,n2-highmem-8,8,64.0 GB,300 GB,RUNNING,jcn,prod,playnwin-4,jcn-prod,720
regularcoupon-prod-mongo-replica,10.3.1.36,n2-highmem-8,8,64.0 GB,300 GB,RUNNING,jcn,prod,playnwin-4,jcn-prod,720
se-dev-oracle,10.143.2.2,n2-standard-8,8,32.0 GB,200 GB,RUNNING,jiose,dev,se-dev,jiose-dev,308
se-dev-oracle-12-2,10.143.2.3,n2-standard-8,8,32.0 GB,200 GB,TERMINATED,jiose,dev,se-dev,jiose-dev,308
siem-autoscale,10.2.3.83,e2-medium,2,4.0 GB,30 GB,TERMINATED,jioengage,dev,devops,devops,308
siem-autoscale-instance-group-d72w,10.2.3.23,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,dev,devops,devops,308
ss-prod-admin,10.3.2.30,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-1,10.3.16.30,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-10,10.3.16.177,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-2,10.3.16.31,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-3,10.3.16.170,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-4,10.3.16.171,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-5,10.3.16.172,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-6,10.3.16.173,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-7,10.3.16.174,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-8,10.3.16.175,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-app-9,10.3.16.176,e2-standard-8,8,32.0 GB,50 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-mongo-master,10.3.1.9,e2-medium,2,4.0 GB,150 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-mongo-slave,10.3.1.10,e2-medium,2,4.0 GB,150 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
ss-prod-rabbitmq,10.3.3.12,e2-medium,2,4.0 GB,30 GB,TERMINATED,jioengage,prod,super-sqad,bigticket-prod,720
stb-admin,10.3.2.32,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,stb,bigticket-prod,720
stb-ha-1,10.3.9.41,e2-micro,2,1.0 GB,30 GB,TERMINATED,jioengage,prod,stb,bigticket-prod,720
stb-mongo,10.3.1.14,e2-standard-2,2,8.0 GB,50 GB,TERMINATED,jioengage,prod,stb,bigticket-prod,720
stb-qa,10.2.3.19,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,dev,stb,bigticket-dev,308
stb-sc-app1,10.3.16.179,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,stb,bigticket-prod,720
stb-sc-app2,10.3.16.180,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,stb,bigticket-prod,720
stb-stage,10.2.3.26,e2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,dev,stb,bigticket-dev,308
subscription-dev-bastion,10.143.0.2,e2-medium,2,4.0 GB,10 GB,RUNNING,jiose,dev,se-dev,jiose-dev,308
subscription-dev-redis-master,10.143.3.4,n2-standard-4,4,16.0 GB,50 GB,TERMINATED,jiose,dev,se-dev,jiose-dev,308
subscription-dev-redis-slave,10.143.3.5,n2-standard-4,4,16.0 GB,50 GB,RUNNING,jiose,dev,se-dev,jiose-dev,308
subscription-dev-rmq-master,10.143.3.2,n2-standard-4,4,16.0 GB,50 GB,TERMINATED,jiose,dev,se-dev,jiose-dev,308
